               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11631,            0.039914,            0.040904,           0.0039337,            0.026055,           0.0018272,          0.00031712,             0.10826,            0.029299,            0.042371,               7e-05,               7e-05,             0.09937
                   1,             0.11112,            0.036397,            0.040799,           0.0062743,            0.043841,           0.0020632,          0.00039612,             0.10415,            0.028589,            0.040864,             0.00015,             0.00015,             0.09865
                   2,             0.10676,            0.041032,             0.03813,            0.014692,            0.025575,           0.0026601,          0.00053569,            0.096707,             0.02903,            0.038773,          0.00022999,          0.00022999,             0.09793
                   3,             0.10126,            0.039687,            0.037152,            0.011567,            0.068339,           0.0058353,           0.0010656,             0.08521,            0.030426,            0.036171,          0.00030998,          0.00030998,             0.09721
                   4,            0.094189,            0.043907,            0.034973,            0.020746,             0.12313,            0.012388,           0.0022981,            0.081563,            0.030022,            0.033691,          0.00038994,          0.00038994,             0.09649
                   5,            0.089991,             0.04522,            0.033202,            0.028568,              0.1857,            0.019341,           0.0038955,             0.07857,            0.029976,             0.03124,           0.0004699,           0.0004699,             0.09577
                   6,            0.086863,            0.047462,            0.031185,            0.048631,            0.085375,            0.031506,           0.0062364,            0.075669,            0.030089,             0.02816,          0.00054982,          0.00054982,             0.09505
                   7,            0.083756,            0.042634,            0.029142,            0.047848,             0.21646,            0.043799,            0.010743,            0.072764,            0.029827,             0.02613,          0.00062973,          0.00062973,             0.09433
                   8,            0.079237,             0.04369,            0.028914,            0.060139,              0.2817,            0.064711,            0.017108,             0.06955,             0.02965,            0.024312,           0.0007096,           0.0007096,             0.09361
                   9,            0.074918,            0.050268,            0.025743,            0.078958,             0.31946,            0.077276,            0.023324,            0.065301,            0.029311,            0.022743,          0.00078943,          0.00078943,            0.092889
                  10,             0.06802,            0.041863,            0.024263,             0.40967,             0.18579,            0.091061,            0.034806,            0.059305,            0.029146,             0.02141,          0.00086923,          0.00086923,            0.092169
                  11,            0.064033,            0.045534,            0.023082,             0.40514,             0.20225,            0.093165,            0.038234,            0.053547,            0.028986,            0.020003,          0.00094898,          0.00094898,            0.091449
                  12,            0.060213,            0.040649,            0.022692,             0.73353,             0.23221,            0.085657,            0.038952,            0.054542,            0.027784,            0.018681,           0.0010287,           0.0010287,            0.090729
                  13,            0.056766,            0.047987,            0.018512,             0.72578,             0.24345,            0.083206,            0.036917,            0.050672,            0.028216,            0.017618,           0.0011083,           0.0011083,            0.090008
                  14,            0.053601,            0.042596,            0.018287,             0.48202,             0.41343,             0.16387,             0.08056,            0.045418,            0.027925,            0.016692,           0.0011879,           0.0011879,            0.089288
                  15,            0.052995,            0.046555,            0.018787,              0.6199,             0.39726,             0.23953,             0.09436,            0.042867,            0.025705,            0.016036,           0.0012675,           0.0012675,            0.088567
                  16,            0.051195,            0.042147,            0.019963,             0.22675,             0.58296,             0.30456,             0.14307,             0.04153,            0.024928,            0.014999,           0.0013469,           0.0013469,            0.087847
                  17,            0.049304,            0.041879,            0.017236,             0.27199,             0.52426,             0.27269,             0.13922,            0.042162,             0.02419,            0.014103,           0.0014263,           0.0014263,            0.087126
                  18,            0.050473,             0.03932,             0.01691,             0.34941,              0.5994,             0.33621,             0.16251,            0.039117,            0.024109,            0.013466,           0.0015057,           0.0015057,            0.086406
                  19,            0.047017,             0.04097,            0.014689,             0.31092,             0.66697,             0.37189,             0.20495,            0.038008,            0.023498,            0.012403,           0.0015849,           0.0015849,            0.085685
                  20,            0.050147,             0.04166,            0.014483,             0.36165,             0.70501,             0.36947,             0.20008,            0.040549,             0.02273,            0.011835,           0.0016641,           0.0016641,            0.084964
                  21,            0.056688,            0.035509,            0.014572,             0.29179,             0.67446,             0.33815,             0.16418,            0.046259,             0.02219,            0.011878,           0.0017432,           0.0017432,            0.084243
                  22,            0.057015,            0.033946,             0.01408,             0.32784,             0.52869,             0.36182,             0.16598,            0.047865,            0.021982,            0.011656,           0.0018221,           0.0018221,            0.083522
                  23,            0.055753,             0.03409,            0.016159,             0.29363,             0.62858,             0.36642,             0.20494,            0.046994,            0.022049,            0.011329,            0.001901,            0.001901,            0.082801
                  24,            0.054445,            0.034593,            0.012734,             0.27895,             0.64218,             0.36662,             0.18434,            0.048858,            0.021641,            0.011059,           0.0019798,           0.0019798,             0.08208
                  25,            0.058233,            0.035512,            0.011321,             0.31245,             0.50175,             0.34842,             0.16977,            0.047999,            0.021318,            0.011153,           0.0020585,           0.0020585,            0.081359
                  26,             0.05914,            0.029653,            0.013983,             0.34242,             0.65147,             0.43862,             0.24257,            0.042346,            0.022462,            0.010827,           0.0021371,           0.0021371,            0.080637
                  27,            0.056153,            0.035564,            0.012166,             0.35969,             0.54413,             0.37714,             0.19301,            0.048481,            0.020568,              0.0107,           0.0022156,           0.0022156,            0.079916
                  28,            0.056625,            0.036205,             0.01281,             0.39876,             0.65201,             0.44723,             0.26017,            0.040524,            0.021264,            0.010457,            0.002294,            0.002294,            0.079194
                  29,            0.056871,            0.035549,            0.010634,             0.44588,             0.59398,             0.44866,             0.22827,            0.056574,            0.019193,            0.010207,           0.0023722,           0.0023722,            0.078472
                  30,            0.057135,            0.026275,            0.012066,             0.29115,             0.67217,             0.40714,             0.20784,            0.047332,            0.021001,            0.010177,           0.0024503,           0.0024503,             0.07775
                  31,            0.051772,            0.033766,             0.01134,             0.35298,             0.61062,             0.38109,             0.21266,            0.062418,            0.018248,            0.010044,           0.0025283,           0.0025283,            0.077028
                  32,            0.056548,            0.033581,            0.010915,             0.40836,             0.66335,             0.45836,             0.28353,            0.044906,             0.02051,           0.0099496,           0.0026062,           0.0026062,            0.076306
                  33,            0.051073,            0.033778,             0.01228,             0.38232,              0.5278,             0.40243,             0.16678,            0.042109,            0.020457,            0.010038,           0.0026839,           0.0026839,            0.075584
                  34,            0.048958,            0.032916,            0.010762,             0.48469,             0.56465,             0.52369,              0.2843,            0.042006,            0.020091,           0.0097983,           0.0027615,           0.0027615,            0.074861
                  35,            0.052583,            0.035339,             0.01037,             0.48379,              0.6689,              0.5233,             0.31267,            0.045221,            0.019464,            0.009293,           0.0028389,           0.0028389,            0.074139
                  36,            0.051401,            0.032305,             0.01169,             0.47077,             0.49211,             0.41889,             0.20898,            0.044989,            0.019255,            0.009271,           0.0029162,           0.0029162,            0.073416
                  37,            0.051685,            0.032226,           0.0093046,             0.45861,             0.50319,             0.44133,             0.27791,            0.045644,            0.019039,           0.0094597,           0.0029933,           0.0029933,            0.072693
                  38,            0.050931,            0.029098,            0.011555,             0.36007,             0.69352,             0.41184,             0.19582,            0.044962,            0.020252,           0.0097914,           0.0030703,           0.0030703,             0.07197
                  39,            0.048301,            0.032364,            0.010467,             0.41041,             0.61822,             0.42967,             0.22304,            0.038379,            0.020874,           0.0096951,           0.0031471,           0.0031471,            0.071247
                  40,            0.050184,            0.033184,           0.0093668,             0.41934,             0.77089,             0.54582,             0.32271,            0.040485,            0.019383,           0.0090843,           0.0032238,           0.0032238,            0.070524
                  41,            0.049882,            0.033309,           0.0099042,             0.40089,             0.73663,             0.52519,             0.32844,            0.042337,            0.018744,           0.0091061,           0.0033003,           0.0033003,              0.0698
                  42,             0.04699,            0.034049,            0.009725,             0.48668,             0.54196,             0.47087,             0.28152,            0.042618,            0.019084,            0.009124,           0.0033766,           0.0033766,            0.069077
                  43,            0.046012,            0.033723,            0.010559,             0.49596,             0.66004,             0.52527,             0.32805,             0.03527,            0.019772,           0.0090551,           0.0034527,           0.0034527,            0.068353
                  44,            0.047708,            0.031598,            0.010105,             0.47823,             0.61932,             0.52368,             0.35266,             0.03419,            0.020286,           0.0092697,           0.0035287,           0.0035287,            0.067629
                  45,            0.043369,            0.032802,           0.0093284,             0.53408,             0.55866,             0.54267,             0.39363,            0.034952,            0.020195,           0.0092336,           0.0036044,           0.0036044,            0.066904
                  46,            0.044572,            0.034003,           0.0099486,             0.54427,             0.57662,             0.54114,             0.37119,            0.040701,            0.018773,           0.0089871,             0.00368,             0.00368,             0.06618
                  47,            0.048009,            0.029544,            0.010273,             0.57794,             0.51414,             0.49995,             0.27818,            0.038577,            0.019933,           0.0094043,           0.0037554,           0.0037554,            0.065455
                  48,            0.047893,            0.028738,            0.010163,              0.5303,             0.61985,             0.54727,             0.36396,            0.034377,            0.021076,           0.0094917,           0.0038306,           0.0038306,            0.064731
                  49,            0.040816,            0.036545,           0.0089978,             0.55935,              0.6485,             0.56174,              0.2961,            0.039393,            0.019359,           0.0087554,           0.0039056,           0.0039056,            0.064006
                  50,            0.047932,            0.028125,           0.0098875,             0.45685,             0.60992,             0.47777,             0.21679,            0.037127,            0.019571,           0.0091917,           0.0039804,           0.0039804,             0.06328
                  51,             0.04422,            0.032451,           0.0092852,             0.38534,             0.69636,             0.49868,              0.2537,             0.03214,            0.019839,            0.009266,           0.0040549,           0.0040549,            0.062555
                  52,            0.041428,            0.032398,             0.01006,             0.48543,             0.69986,             0.53657,             0.37072,            0.034958,            0.018954,           0.0091669,           0.0041293,           0.0041293,            0.061829
                  53,            0.042487,             0.02627,             0.01102,             0.58595,             0.66432,             0.57078,             0.40457,             0.03427,            0.019298,           0.0090724,           0.0042034,           0.0042034,            0.061103
                  54,            0.040036,             0.03255,           0.0090797,             0.52341,             0.65502,             0.55587,             0.35387,            0.035618,            0.018689,            0.008655,           0.0042774,           0.0042774,            0.060377
